rank,owner,repo,full_name,html_url,description,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,pushed_at,default_branch
61,shareAI-lab,learn-claude-code,shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,"Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1",67222,10921,74,Python,2025-06-29T15:34:15Z,2026-06-18T00:21:30Z,2026-06-15T16:16:14Z,main
62,labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",66949,6708,32,Python,2020-08-25T02:29:34Z,2026-06-18T00:01:46Z,2026-01-22T04:26:00Z,master
63,unslothai,unsloth,unslothai/unsloth,https://github.com/unslothai/unsloth,"Unsloth Studio is a web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally.",66708,5988,1205,Python,2023-11-29T16:50:09Z,2026-06-18T00:25:46Z,2026-06-18T00:26:27Z,main
64,666ghj,MiroFish,666ghj/MiroFish,https://github.com/666ghj/MiroFish,"A Simple and Universal Swarm Intelligence Engine, Predicting Anything. 简洁通用的群体智能引擎，预测万物",66698,10398,321,Python,2025-11-26T04:23:02Z,2026-06-18T00:19:04Z,2026-05-24T16:48:58Z,main
65,scikit-learn,scikit-learn,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,scikit-learn: machine learning in Python,66358,27071,2086,Python,2010-08-17T09:43:38Z,2026-06-17T21:00:49Z,2026-06-17T14:46:09Z,main
66,xtekky,gpt4free,xtekky/gpt4free,https://github.com/xtekky/gpt4free,The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3,66343,13573,2,Python,2023-03-29T17:00:43Z,2026-06-18T00:14:46Z,2026-06-14T21:41:34Z,main
67,Asabeneh,30-Days-Of-Python,Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,The 30 Days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days. Follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw,65309,12245,145,Python,2019-11-19T17:24:16Z,2026-06-18T00:19:37Z,2026-04-04T17:59:06Z,master
68,localstack,localstack,localstack/localstack,https://github.com/localstack/localstack,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,65059,4739,0,Python,2016-10-25T23:48:03Z,2026-06-17T22:02:00Z,2026-03-23T08:52:01Z,main
69,ComposioHQ,awesome-claude-skills,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",64997,7204,829,Python,2025-10-17T07:15:01Z,2026-06-18T00:15:13Z,2026-05-22T03:17:49Z,master
70,D4Vinci,Scrapling,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!,64615,6334,9,Python,2024-10-13T20:29:53Z,2026-06-18T00:28:30Z,2026-06-17T22:01:56Z,main
71,keras-team,keras,keras-team/keras,https://github.com/keras-team/keras,Deep Learning for humans,64094,19735,192,Python,2015-03-28T00:35:42Z,2026-06-18T00:23:04Z,2026-06-18T00:22:57Z,master
72,pathwaycom,pathway,pathwaycom/pathway,https://github.com/pathwaycom/pathway,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",62941,1676,39,Python,2022-11-27T13:01:14Z,2026-06-17T23:28:48Z,2026-06-17T15:31:20Z,main
73,scrapy,scrapy,scrapy/scrapy,https://github.com/scrapy/scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",62300,11660,616,Python,2010-02-22T02:01:14Z,2026-06-18T00:16:26Z,2026-06-17T09:56:23Z,master
74,docling-project,docling,docling-project/docling,https://github.com/docling-project/docling,Get your documents ready for gen AI,61766,4320,924,Python,2024-07-09T07:50:26Z,2026-06-18T00:20:55Z,2026-06-17T21:35:47Z,main
75,commaai,openpilot,commaai/openpilot,https://github.com/commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",61402,10991,123,Python,2016-11-24T01:33:30Z,2026-06-18T00:12:35Z,2026-06-18T00:01:21Z,master
76,virattt,ai-hedge-fund,virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,60206,10651,142,Python,2024-11-29T16:30:01Z,2026-06-17T23:37:23Z,2026-06-17T12:58:19Z,main
77,datawhalechina,hello-agents,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程,60040,7384,151,Python,2025-09-07T09:50:24Z,2026-06-18T00:14:40Z,2026-06-11T10:28:14Z,main
78,CorentinJ,Real-Time-Voice-Cloning,CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,59921,9406,171,Python,2019-05-26T08:56:15Z,2026-06-17T21:47:59Z,2026-03-09T10:31:58Z,master
79,karpathy,nanoGPT,karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",59792,10316,349,Python,2022-12-28T00:51:12Z,2026-06-18T00:09:23Z,2025-11-12T19:52:34Z,master
80,sansan0,TrendRadar,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",59574,24681,45,Python,2025-04-28T11:42:16Z,2026-06-18T00:20:49Z,2026-06-13T00:32:33Z,master
81,meta-llama,llama,meta-llama/llama,https://github.com/meta-llama/llama,Inference code for Llama models,59468,9790,520,Python,2023-02-14T09:29:12Z,2026-06-17T15:50:23Z,2025-01-26T21:42:26Z,main
82,microsoft,autogen,microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI,59042,8905,892,Python,2023-08-18T11:43:45Z,2026-06-18T00:16:13Z,2026-04-15T11:59:09Z,main
83,mem0ai,mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,58803,6767,335,Python,2023-06-20T08:58:36Z,2026-06-18T00:23:11Z,2026-06-17T18:52:53Z,main
84,RVC-Boss,GPT-SoVITS,RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),58771,6429,874,Python,2024-01-14T18:05:21Z,2026-06-18T00:27:18Z,2026-06-16T13:46:53Z,main
85,ultralytics,ultralytics,ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,Ultralytics YOLO 🚀,58519,11202,307,Python,2022-09-11T16:39:45Z,2026-06-18T00:25:20Z,2026-06-17T23:36:38Z,main
86,ultralytics,yolov5,ultralytics/yolov5,https://github.com/ultralytics/yolov5,Ultralytics YOLOv5 in PyTorch > ONNX > CoreML > TFLite,57532,17464,42,Python,2020-05-18T03:45:11Z,2026-06-18T00:25:18Z,2026-06-12T21:10:15Z,master
87,zylon-ai,private-gpt,zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,"Interact with your documents using the power of GPT, 100% privately, no data leaks",57278,7611,5,Python,2023-05-02T09:15:31Z,2026-06-17T20:21:53Z,2026-06-17T16:13:52Z,main
88,soimort,you-get,soimort/you-get,https://github.com/soimort/you-get,:arrow_double_down: Dumb downloader that scrapes the web,56840,9730,384,Python,2012-08-20T15:53:36Z,2026-06-18T00:23:47Z,2026-04-30T05:24:16Z,develop
89,Textualize,rich,Textualize/rich,https://github.com/Textualize/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,56643,2185,352,Python,2019-11-10T15:28:09Z,2026-06-17T19:52:03Z,2026-06-15T13:38:25Z,main
90,FoundationAgents,OpenManus,FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,"No fortress, purely open ground.  OpenManus is Coming.",56585,9847,526,Python,2025-03-06T14:08:14Z,2026-06-18T00:08:32Z,2026-02-11T13:48:00Z,main
91,ageitgey,face_recognition,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,56510,13699,837,Python,2017-03-03T21:52:39Z,2026-06-17T10:49:42Z,2024-08-21T06:22:36Z,master
92,MemPalace,mempalace,MemPalace/mempalace,https://github.com/MemPalace/mempalace,The best-benchmarked open-source AI memory system. And it's free.,55839,7237,581,Python,2026-04-05T01:12:07Z,2026-06-18T00:28:41Z,2026-06-15T13:40:24Z,develop
93,deepfakes,faceswap,deepfakes/faceswap,https://github.com/deepfakes/faceswap,Deepfakes Software For All,55289,13364,9,Python,2017-12-19T09:44:13Z,2026-06-17T15:58:24Z,2026-05-29T10:41:20Z,master
94,AntonOsika,gpt-engineer,AntonOsika/gpt-engineer,https://github.com/AntonOsika/gpt-engineer,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,55205,7307,71,Python,2023-04-29T12:52:15Z,2026-06-17T13:00:30Z,2025-05-14T10:15:10Z,main
95,Zie619,n8n-workflows,Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,all of the workflows of n8n i could find (also from the site itself),55185,7320,29,Python,2025-05-14T08:43:59Z,2026-06-17T19:06:10Z,2026-05-31T14:09:36Z,main
96,karpathy,nanochat,karpathy/nanochat,https://github.com/karpathy/nanochat,The best ChatGPT that $100 can buy.,55166,7579,109,Python,2025-10-13T13:46:35Z,2026-06-17T22:33:15Z,2026-05-05T03:17:23Z,master
97,psf,requests,psf/requests,https://github.com/psf/requests,"A simple, yet elegant, HTTP library.",54046,9976,229,Python,2011-02-13T18:38:17Z,2026-06-17T23:56:38Z,2026-06-15T18:12:30Z,main
98,crewAIInc,crewAI,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",53827,7532,478,Python,2023-10-27T03:26:59Z,2026-06-18T00:09:12Z,2026-06-18T00:04:18Z,main
99,odoo,odoo,odoo/odoo,https://github.com/odoo/odoo,Odoo. Open Source Apps To Grow Your Business.,52477,32847,9797,Python,2014-05-13T15:38:58Z,2026-06-17T22:58:48Z,2026-06-18T00:23:58Z,19.0
100,jingyaogong,minimind,jingyaogong/minimind,https://github.com/jingyaogong/minimind,🧠「大模型」2小时完全从0训练64M的小参数LLM！Train a 64M-parameter LLM from scratch in just 2h!,51904,6676,42,Python,2024-07-27T04:34:12Z,2026-06-18T00:16:51Z,2026-06-01T09:50:49Z,master
